id,season_id,player_id,games_played,points,goals,age,position,team_id,experience,innate_ability
1,1,105,68,2335,672,30,SG,1,9,0.3
2,1,109,66,1978,624,29,PG,23,6,0.21
3,1,11,70,1863,627,23,SG,12,3,0.13
4,1,115,63,1857,685,25,PF,26,5,0.2
5,1,97,60,1778,546,21,PG,9,0,0
6,1,162,61,1759,581,20,PG,25,0,0
7,1,58,57,1741,593,26,SG,21,6,0.23
8,1,135,67,1698,643,35,PG,5,15,0.43
9,1,113,69,1655,602,23,SG,7,1,0.04
10,1,139,62,1618,551,26,PF,5,6,0.23
11,1,13,70,1556,611,28,SG,23,5,0.18
12,1,124,57,1553,604,31,PG,1,10,0.32
13,1,9,66,1547,552,21,PF,15,1,0.05
14,1,17,57,1543,532,28,SF,2,6,0.21
15,1,129,60,1530,539,24,SF,3,4,0.17
16,1,145,68,1504,557,30,SF,24,9,0.3
17,1,39,62,1477,507,22,PF,29,2,0.09
18,1,66,73,1456,565,24,C,14,3,0.13
19,1,54,72,1411,553,27,PF,22,7,0.26
20,1,155,72,1382,498,27,SG,8,2,0.07
21,1,36,60,1371,500,25,PF,27,2,0.08
22,1,178,65,1349,513,21,PG,19,1,0.05
23,1,144,70,1331,478,21,SG,18,0,0
24,1,183,67,1326,534,26,SF,4,3,0.12
25,1,101,64,1318,424,26,PG,28,4,0.15
26,1,48,62,1297,471,28,SF,26,6,0.21
27,1,117,63,1275,418,30,SF,7,4,0.13
28,1,21,64,1248,463,25,PF,16,4,0.16
29,1,153,70,1232,434,34,PG,18,13,0.38
30,1,142,65,1229,453,26,PG,18,5,0.19
31,1,163,66,1221,434,27,SF,10,6,0.22
32,1,14,62,1215,493,29,C,10,7,0.24
33,1,172,67,1193,447,20,PG,6,0,0
34,1,127,65,1185,391,33,PG,2,14,0.42
35,1,32,73,1181,435,24,SG,6,2,0.08
36,1,6,54,1175,437,24,SF,31,4,0.17
37,1,6,42,942,351,24,SF,20,4,0.17
38,1,6,12,233,86,24,SF,13,4,0.17
39,1,161,63,1173,471,26,C,2,3,0.12
40,1,38,51,1172,382,25,C,22,2,0.08
41,1,160,61,1167,458,29,SG,29,9,0.31
42,1,8,57,1164,398,24,C,25,2,0.08
43,1,31,62,1160,358,31,PF,18,8,0.26
44,1,121,57,1159,427,23,SG,15,2,0.09
45,1,103,58,1157,345,30,SF,11,7,0.23
46,1,71,62,1147,458,23,PF,4,2,0.09
47,1,5,72,1146,440,22,PF,11,1,0.05
48,1,137,63,1145,368,24,PG,30,0,0
49,1,151,56,1145,378,29,PG,15,8,0.28
50,1,180,63,1134,398,25,PG,30,3,0.12
51,1,147,58,1126,334,33,PG,27,12,0.36
52,1,176,71,1121,384,27,SG,25,5,0.19
53,1,56,59,1091,408,22,PG,14,1,0.05
54,1,173,71,1078,394,27,SG,31,4,0.15
55,1,173,29,423,144,27,SG,19,4,0.15
56,1,173,42,655,250,27,SG,7,4,0.15
57,1,50,51,1077,391,22,PG,8,1,0.05
58,1,111,72,1046,365,27,PF,8,6,0.22
59,1,143,56,1046,373,24,SF,12,3,0.13
60,1,57,70,1044,432,27,C,6,6,0.22
61,1,120,69,645,237,26,SG,5,5,0.19
62,1,51,61,782,291,24,PF,5,1,0.04
63,1,59,68,547,197,32,SG,5,10,0.31
64,1,138,49,423,170,29,SG,5,9,0.31
65,1,98,48,342,137,33,PG,5,13,0.39
66,1,60,69,517,202,34,C,5,15,0.44
67,1,73,64,349,120,25,PG,5,1,0.04
68,1,16,68,446,195,32,C,5,11,0.34
69,1,53,6,34,14,19,SG,5,0,0
70,1,18,6,17,7,34,SG,5,15,0.44
71,1,64,44,224,91,26,PG,5,3,0.12
72,1,94,1,6,3,23,C,5,0,0
73,1,148,45,68,24,34,PF,5,12,0.35
74,1,130,5,7,3,22,PF,5,1,0.05
75,1,123,41,174,62,28,SG,5,6,0.21
76,1,92,7,83,31,28,SG,5,7,0.25
77,1,100,2,0,0,22,SG,5,0,0
78,1,29,14,74,28,30,PF,5,7,0.23
79,2,99,63,2015,658,32,PG,13,10,0.31
80,2,109,67,1928,602,30,PG,23,7,0.23
81,2,66,72,1898,732,25,C,14,4,0.16
82,2,58,60,1878,670,27,SG,21,7,0.26
83,2,162,66,1830,647,21,PG,25,1,0.05
84,2,115,61,1717,626,26,PF,26,6,0.23
85,2,11,67,1712,623,24,SG,12,4,0.17
86,2,21,71,1712,602,26,PF,16,5,0.19
87,2,9,64,1692,605,22,SF,15,2,0.09
88,2,87,61,1647,634,20,PF,29,1,0.05
89,2,14,70,1639,666,30,C,31,8,0.27
90,2,14,44,1080,436,30,C,10,8,0.27
91,2,14,26,559,230,30,C,3,8,0.27
92,2,97,63,1594,487,22,PG,9,1,0.05
93,2,129,58,1591,569,25,SG,3,5,0.2
94,2,50,58,1461,529,23,PG,8,2,0.09
95,2,178,60,1460,525,22,SG,19,2,0.09
96,2,38,51,1451,461,26,C,22,3,0.12
97,2,25,54,1451,549,28,PG,28,8,0.29
98,2,39,61,1450,513,23,SF,29,3,0.13
99,2,124,65,1445,544,32,PG,21,11,0.34
100,2,121,58,1430,538,24,SG,15,3,0.13
101,2,180,69,1407,510,26,SG,30,4,0.15
102,2,113,53,1401,478,24,PG,7,2,0.08
103,2,112,72,1392,505,19,SG,20,0,0
104,2,48,68,1385,511,29,SF,26,7,0.24
105,2,6,71,1320,505,25,PF,13,5,0.2
106,2,145,61,1316,455,31,PF,24,10,0.32
107,2,17,52,1292,465,29,SF,2,7,0.24
108,2,79,69,1283,438,27,SF,31,4,0.15
109,2,79,42,823,282,27,SG,27,4,0.15
110,2,79,27,460,156,27,SF,23,4,0.15
111,2,2,72,1264,467,20,SG,16,0,0
112,2,71,62,1260,484,24,PF,4,3,0.13
113,2,35,54,1259,445,30,SF,2,9,0.3
114,2,173,68,1251,457,28,SG,7,5,0.18
115,2,33,50,1239,425,25,C,20,4,0.16
116,2,117,72,1225,406,31,SF,7,5,0.16
117,2,54,62,1210,473,28,PF,22,8,0.29
118,2,49,54,1205,400,26,SF,17,5,0.19
119,2,172,63,1204,430,21,PG,6,0,0
120,2,5,64,1197,456,23,C,11,2,0.09
121,2,36,56,1196,437,26,PF,27,3,0.12
122,2,107,56,1186,444,28,PG,4,3,0.11
123,2,155,71,1176,403,28,SG,8,3,0.11
124,2,176,70,1163,407,28,SG,25,6,0.21
125,2,37,61,1162,443,22,SF,14,0,0
126,2,32,67,1151,432,25,SF,6,3,0.12
127,2,153,70,1149,439,35,PG,12,14,0.4
128,2,135,45,1126,422,36,PG,5,16,0.44
129,2,103,52,1116,366,31,SF,11,8,0.26
130,2,65,63,1111,429,23,PF,9,2,0.09
131,2,13,47,1087,405,29,SG,23,6,0.21
132,2,105,44,1083,342,31,PG,31,10,0.32
133,2,105,8,198,60,31,PG,1,10,0.32
134,2,105,36,885,282,31,PG,28,10,0.32
135,2,57,62,1058,440,28,C,6,7,0.25
136,2,88,67,1051,441,24,PG,24,2,0.08
137,2,160,59,1046,414,30,PG,26,10,0.33
138,2,186,69,1041,375,20,PG,3,0,0
139,2,177,1,9,3,25,SF,26,2,0.08
